Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali
Electric_LightningAmount,Arc Shocks +{0},電弧衝擊+{0},ช็อกสายฟ้า +{0},Số lượng tia chớp Sốc Điện +{0},Jumlah Petir +{0},Choques do Trovão +{0},Impacto eléctrico +{0},Количество ударов молнии электро дуги +{0},Chocs électriques +{0},Ark Şokları +{0},आर्क शॉक्स +{0},عدد صواعق قوس الصدمة +{0},আর্ক শকস +{0}
Electric_SkillDamage,Arc Shock Damage +{0}%,電弧衝擊傷害+{0}%,ความเสียหายจากช็อกสายฟ้า +{0}%,Sát thương tia chớp Sốc Điện +{0}%,Damage Petir +{0}%,Dano do Choque do Trovão +{0}%,Daño de impacto eléctrico +{0}%,Урон от электро дуги +{0}%,Dégâts des chocs électriques +{0}%,Ark Şoku hasarı +%{0},आर्क शॉक डैमेज +{0}%,ضرر الصدمة القوسية +{0}%,আর্ক শক ড্যামেজ +{0}%
Electric_SkillAmount,Each lightning is triggered twice,閃電觸發連續釋放2次,ฟ้าผ่าทุกครั้งจะถูกกระตุ้นสองครั้ง,Kích hoạt Sốc Điện liên tiếp 2 lần,Setiap petir dilepaskan dua kali.,Cada relâmpago é ativado duas vezes,Cada rayo se activa dos veces,Молния активируется и срабатывает 2 раза подряд.,Chaque éclair est déclenché deux fois.,Her yıldırım iki kez tetiklenir,हर लाइटनिंग दो बार ट्रिगर होती है,يتم إطلاق البرق مرتين على التوالي.,প্রতিটি লাইটনিং দু’বার ট্রিগার হয়
Electric_LightningRange,Lighting Range +{0}m,電弧衝擊爆炸範圍+{0}米,ระยะฟ้าผ่า +{0}ม.,Khoảng cách Chớp Giật +{0}m,Jangkauan Petir +{0}m,Alcance do Relâmpago +{0}m,Alcance del rayo +{0}m,Радиус взрыва электро дуги +{0} м,Portée de l'éclair +{0} m,Yıldırım Menzili +{0}m,लाइटनिंग रेंज +{0}m,نطاق انفجار الصدمة القوسية +{0}م,লাইটনিং রেঞ্জ +{0}মি
Electric_LightningExplosion,Lightning deals an extra {0}% explosion damage,電弧衝擊命中產生{0}%傷害的爆炸,ฟ้าผ่าทำความเสียหายระเบิดเพิ่มเติม {0}%,Chớp Giật phát nổ gây {0}% sát thương thêm,Petir memberikan damage extra sebesar {0}%,O relâmpago causa {0}% de dano explosivo extra,Los rayos causan {0}% de daño de explosión adicional,Удар электро дуги вызывает взрыв с уроном {0}%.,L'éclair inflige {0}% de dégâts d'explosion supplémentaires.,"Elektrik yayının çarpması, {0}% hasar değerinde bir patlama oluşturur.",लाइटनिंग अतिरिक्त {0}% एक्सप्लोजन डैमेज देती है,الصدمات القوسية تُحدث انفجاراً يسبب ضرراً بنسبة {0}%,লাইটনিং অতিরিক্ত {0}% এক্সপ্লোশন ড্যামেজ দেয়
Electric_WeaponLightningProb,Chance to trigger lightning +{0}%,閃電觸發機率+{0}%,โอกาสกระตุ้นฟ้าผ่า +{0}%,Xác suất kích hoạt Chớp Giật +{0}%,Peluang terjadinya petir +{0}%,Chance de ativar o relâmpago +{0}%,Probabilidad de activar rayos +{0}%,Шанс срабатывания молнии +{0}%,Chance de déclencher un éclair +{0}%,Şimşek tetikleme olasılığı +%{0},लाइटनिंग ट्रिगर होने की संभावना +{0}%,فرصة تفعيل البرق +{0}%,লাইটনিং ট্রিগার হওয়ার চান্স +{0}%
Electric_ReloadBuff,"After each reload, firing rate +{0}% temporarily",每次換彈後短暫提升{0}%射速,หลังจากรีโหลดแต่ละครั้ง อัตราการยิง +{0}% ชั่วคราว,Mỗi lần thay đạn sẽ tạm thời tăng {0}% tốc độ bắn,"Setiap reload, kecepatan tembak meningkat sebesar {0}% sementara.","Após cada recarga, a taxa de disparo aumenta em +{0}% por um tempo","Tras recargar, la velocidad de disparo sube temporalmente un {0}%.",Каждая перезарядка временно увеличивает скорость стрельбы на {0}%.,"Après chaque rechargement, cadence de tir +{0}% temporairement",Her doldurma sonrası atış hızı geçici olarak %{0} artar,"हर रीलोड के बाद, फ़ायरिंग रेट अस्थायी रूप से +{0}%",يزيد معدل إطلاق النار بنسبة {0}% لفترة قصيرة بعد كل إعادة تعبئة.,"প্রতিটি রিলোডের পর, টেম্পোরারি ফায়ারিং রেট +{0}%"
Electric_ReloadSpeed,Reload speed increases by {0}%,換彈速度提升{0}%,ความเร็วรีโหลดเพิ่มขึ้น {0}%,Tốc độ thay đạn tăng {0}%,Kecepatan reload meningkat {0}%,Velocidade de recarga aumenta em {0}%,La velocidad de recarga aumenta en un {0}%,Скорость перезарядки увеличена на {0}%,Vitesse de rechargement augmentée de {0}%,Yeniden doldurma hızı %{0} artırıldı,रीलोड स्पीड {0}% बढ़ती है,زيادة سرعة إعادة التلقيم بنسبة {0}%,রিলোড স্পিড বৃদ্ধি পায় +{0}%
Electric_SkillCD,Ability cooldown reduced by {0}%,技能冷卻-{0}%,คูลดาวน์ความสามารถลดลง {0}%,Giảm thời gian hồi chiêu kỹ năng {0}%,Cooldown skill berkurang -{0}%,Tempo de recarga da habilidade reduz em {0}%,El enfriamiento de habilidad se reduce en un {0}%,Скорость восстановления навыков: -{0}%,Temps de recharge de la capacité réduit de {0}%,Yetenek bekleme süresi -%{0},एबिलिटी कूलडाउन {0}% कम होता है,التبريد المهارة -{0}%,অ্যাবিলিটি কুলডাউন হ্রাস পায় -{0}%
Electric_ReloadNow,Using an ability reloads your weapon,使用技能後立即裝彈,การใช้ความสามารถจะรีโหลดอาวุธของคุณ,Dùng kỹ năng sẽ lập tức nạp đầy đạn,Menggunakan skill akan otomatis reload senjata,Usar uma habilidade recarrega sua arma,"Al usar una habilidad, se recarga tu arma",После навыка сразу перезарядить оружие,Utiliser une capacité recharge votre arme,Bir yetenek kullandığında silahı yeniden doldurur,एबिलिटी इस्तेमाल करने पर आपका वेपन रीलोड होता है,إعادة تحميل الذخيرة فورًا بعد استخدام المهارة.,অ্যাবিলিটি ব্যবহার করা হলে ওয়েপন রিলোড হয়
Electric_WeaponMaxMagazine,Magazine Capacity +{0},彈匣容量+{0},ความจุแมกกาซีน +{0},Dung lượng băng đạn +{0},Kapasitas Magazine +{0},Capacidade do cartucho +{0},Capacidad del cargador +{0},Ёмкость магазина +{0},Capacité du chargeur +{0},Şarjör Kapasitesi +{0},मैगज़ीन कैपेसिटी +{0},سعة المخزن +{0},ম্যাগাজিন ক্যাপাসিটি +{0}
Electric_AttackSpeed,Attack Speed +{0}%,攻擊速度+{0}%,ความเร็วโจมตี +{0}%,Tốc độ tấn công +{0}%,Kecepatan Serangan +{0}%,Velocidade de Ataque +{0}%,Velocidad de ataque +{0}%,Скорость атаки +{0}%,Vitesse d'attaque +{0}%,Saldırı Hızı +%{0},अटैक स्पीड +{0}%,سرعة الهجوم +{0}%,অ্যাটাক স্পিড +{0}%
Explosion_movespeed,Movement Speed +{0}%,移動速度+{0}%,ความเร็วเคลื่อนที่ +{0}%,Tốc độ di chuyển +{0}%,Kecepatan Gerak +{0}%,Velocidade +{0}%,Velocidad de movimiento +{0}%,Скорость передвижения +{0}%,Vitesse de déplacement +{0}%,Hareket Hızı+%{0},मूवमेंट स्पीड +{0}%,سرعة الحركة+{0}%,মুভমেন্ট স্পিড +{0}%
Explosion_WeaponDamage,Weapon Damage +{0}%,武器傷害+{0}%,ความเสียหายจากอาวุธ +{0}%,Sát thương vũ khí +{0}%,Damage Senjata +{0}%,Dano da arma +{0}%,Daño de arma +{0}%,Урон оружия +{0}%,Dégâts de l'arme +{0}%,Silah Hasarı +%{0},वेपन डैमेज +{0}%,ضرر السلاح+{0}%,ওয়েপন ড্যামেজ +{0}%
Explosion_SkillRange,Target Blast range +{0}m,爆裂轟炸範圍+{0}米,ระยะการระเบิดของเป้าหมาย +{0}ม.,Khoảng cách BÙM! +{0}m,Jangkauan Target Blast +{0},Alcance do Explode-Alvo +{0}m,Rango de explosión +{0},Радиус взрыва +{0},Portée de l'explosion ciblée +{0} m,Hedef Patlaması menzili +{0} m,टारगेट ब्लास्ट रेंज +{0}m,مدى الانفجار المتفجر +{0},টার্গেট ব্লাস্ট রেঞ্জ +{0}m
Explosion_SkillDamage,Target Blast damage +{0}%,爆裂轟炸傷害+{0}%,ความเสียหายจากการระเบิดเป้าหมาย +{0}%,Sát thương BÙM! +{0}%,Damage Target Blast +{0}%,Dano do Explode-Alvo +{0}%,Daño de explosión +{0}%,Урон от направленного взрыва +{0}%,Dégâts de l'explosion ciblée +{0}%,Hedef Patlaması hasarı +%{0},टारगेट ब्लास्ट डैमेज +{0}%,زيادة ضرر الانفجار بنسبة +{0}%,টার্গেট ব্লাস্ট ড্যামেজ +{0}%
Explosion_SkillAmount,Target Blast will trigger twice,爆裂轟炸連續釋放2次,การระเบิดเป้าหมายจะทำงานสองครั้ง,BÙM! liên tục 2 lần,Target Blast akan terpicu dua kali,O Explode-Alvo será ativado duas vezes,La explosión se activa dos veces,Направленный взрыв используется 2 раза подряд,L'explosion ciblée se déclenche deux fois.,Hedef Patlaması iki kez tetiklenir,टारगेट ब्लास्ट दो बार ट्रिगर होगा,إطلاق انفجار متتالي مرتين,টার্গেট ব্লাস্ট দু’বার ট্রিগার হবে
Explosion_SkillFireDamage_SMALL,Target Blast inflicts minor burn damage for 3s,爆裂轟炸附帶3秒少量燃燒傷害,การระเบิดเป้าหมายสร้างความเสียหายจากการเผาไหม้เล็กน้อยเป็นเวลา 3 วินาที,BÙM! gây hiệu ứng bỏng nhẹ trong 3 giây,Target Blast memberikan efek bakar kecil selama 3s,O Explode-Alvo causa queimadura leve por 3s,La explosión causa daño de quemadura menor durante 3s,Направленный взрыв сопровождается эффектом горения на 3 секунды (небольшой урон).,L'explosion ciblée inflige des dégâts de brûlure mineurs pendant 3 s.,Hedef Patlaması 3 sn boyunca hafif yanma hasarı verir,टारगेट ब्लास्ट 3s के लिए हल्का बर्न डैमेज देता है,الانفجار القنبلي يرافقه ضرر حرق لمدة 3 ثوانٍ (بكمية قليلة),টার্গেট ব্লাস্ট 3s-এর জন্য মাইনর বার্ন ড্যামেজ দেয়
Explosion_SkillFireDamage_MIDDLE,Target Blast inflicts medium burn damage for 3s,爆裂轟炸附帶3秒中量燃燒傷害,การระเบิดเป้าหมายสร้างความเสียหายจากการเผาไหม้ปานกลางเป็นเวลา 3 วินาที,BÙM! gây hiệu ứng bỏng trung bình trong 3 giây,Target Blast memberikan efek bakar medium selama 3s,O Explode-Alvo causa queimadura média por 3s,La explosión causa daño de quemadura moderado durante 3s,Направленный взрыв сопровождается эффектом горения на 3 секунды (средний урон).,L'explosion ciblée inflige des dégâts de brûlure modérés pendant 3 s.,Hedef Patlaması 3 sn boyunca orta düzey yanma hasarı verir,टारगेट ब्लास्ट 3s के लिए मध्यम बर्न डैमेज देता है,الانفجار المتفجر يسبب ضرر احتراق لمدة 3 ثواني (متوسط),টার্গেট ব্লাস্ট 3s-এর জন্য মিডিয়াম বার্ন ড্যামেজ দেয়
Explosion_SkillFireDamage_HIGH,Target Blast inflicts significant burn damage for 3s,爆裂轟炸附帶3秒大量燃燒傷害,การระเบิดเป้าหมายสร้างความเสียหายจากการเผาไหม้สูงเป็นเวลา 3 วินาที,BÙM! gây hiệu ứng bỏng nặng trong 3 giây,Target Blast memberikan efek bakar besar selama 3s,O Explode-Alvo causa queimadura intensa por 3s,La explosión causa daño de quemadura significativo durante 3s,Направленный взрыв сопровождается эффектом горения на 3 секунды (значительныйурон).,L'explosion ciblée inflige des dégâts de brûlure importants pendant 3 s.,Hedef Patlaması 3 sn boyunca yüksek düzey yanma hasarı verir,टारगेट ब्लास्ट 3s के लिए ज़्यादा बर्न डैमेज देता है,الانفجار المدوي يتضمن ضرر حرق لمدة 3 ثوانٍ (كبير),টার্গেট ব্লাস্ট 3s-এর জন্য উল্লেখযোগ্য বার্ন ড্যামেজ দেয়
Explosion_WeaponBoomRange,Missile explosion range +{0}m,榴彈爆炸範圍+{0}米,ระยะการระเบิดของขีปนาวุธ +{0}ม.,Tăng phạm vi nổ của Đạn bọc pháo +{0}m,Jangkauan ledakan rudal +{0},Alcance da explosão do míssil +{0}m,Rango de explosión del misil +{0},Радиус взрыва гранаты +{0},Portée de l'explosion du missile +{0} m,Füze patlama menzili +{0}m,मिसाइल एक्सप्लोजन रेंज +{0}m,مدى انفجار القنابل اليدوية +{0},মিসাইল এক্সপ্লোশন রেঞ্জ +{0}m
Explosion_WeaponBoomProbability,{0}% chance to trigger missiles with a normal attack,普攻有{0}%機率觸發榴彈,โอกาส {0}% ที่จะเรียกใช้ขีปนาวุธด้วยการโจมตีปกติ,Tấn công thường có {0}% xác suất kích hoạt Đạn bọc pháo,Serangan normal memiliki {0}% peluang untuk memicu rudal,{0}% de chance de ativar mísseis com um ataque normal,"En un ataque normal, hay {0}% de probabilidad de lanzar misiles",Основная атака с вероятностью {0}% запускает гранату.,{0}% de chances de déclencher des missiles avec une attaque normale.,Normal saldırı %{0} olasılıkla füzeleri tetikler,नॉर्मल अटैक से मिसाइल ट्रिगर होने की {0}% संभावना,الهجوم العادي لديه فرصة بنسبة {0}% لتفعيل القنبلة اليدوية,নরমাল অ্যাটাকের সাথে মিসাইল ট্রিগার হওয়ার চান্স {0}%
Explosion_WeaponDoubleBoom,Missile explodes again after eliminating an enemy,榴彈擊敗敵人後立刻原地爆炸1次,ขีปนาวุธระเบิดอีกครั้งหลังจากกำจัดศัตรู,Kích hoạt Đạn bọc pháo sau khi hạ gục kẻ địch,Rudal akan meledak kedua kali setelah mengalahkan musuh,O míssil explode novamente após eliminar um oponente,El misil explota de nuevo al eliminar a un enemigo,После устранения врага граната взрывается на месте.,Le missile explose à nouveau après avoir éliminé un ennemi,"Füze, bir düşmanı hakladıktan sonra tekrar patlar",दुश्मन को एलिमिनेट करने के बाद मिसाइल दोबारा एक्सप्लोड होती है,قنابل اليدوية تنفجر فورًا في الموقع مرة واحدة بعد هزيمة العدو.,এনিমি এলিমিনেট করার পরে মিসাইল আবার বিস্ফোরিত হয়
Explosion_WeaponBoomDamage,Missile damage +{0}%,榴彈傷害+{0}%,ความเสียหายจากขีปนาวุธ +{0}%,Sát thương Đạn bọc pháo +{0}%,Damage Rudal +{0}%,Dano do míssil +{0}%,Daño del misil +{0}%,Урон от смертельной гранаты +{0}%,Dégâts du missile +{0}%,Füze hasarı +%{0},मिसाइल डैमेज +{0}%,ضرر القنبلة المميتة +{0}%,মিসাইল ড্যামেজ +{0}%
Explosion_ReloadSpeed,Reload speed increases by {0}%,換彈速度提升{0}%,ความเร็วในการรีโหลดเพิ่มขึ้น {0}%,Tốc độ thay đạn tăng {0}%,Kecepatan reload meningkat sebesar {0}%,Velocidade de recarga aumenta em {0}%,Velocidad de recarga aumentada en un {0}%.,Скорость перезарядки увеличена на {0}%.,La vitesse de rechargement augmente de {0}%,Doldurma hızı %{0} artar,रीलोड स्पीड {0}% बढ़ती है,سرعة إعادة التلقيم ترتفع بنسبة {0}%,রিলোড স্পিড বৃদ্ধি পায় +{0}%
Explosion_SkillCD,Target Blast Cooldown reduces by {0}%,爆裂轟炸冷卻-{0}%,คูลดาวน์การระเบิดเป้าหมายลดลง {0}%,Giảm {0}% thời gian hồi kỹ năng BÙM!,Pengurangan Cooldown Target Blast-{0}%,Tempo de recarga do Explode-Alvo reduz em {0}%,Enfriamiento de explosión reducida en un {0}%,Время восстановления направленного взрыва -{0}%,Le temps de recharge de l'explosion ciblée est réduit de {0}%,Hedef Patlaması bekleme süresi %{0} azalır,टारगेट ब्लास्ट कूलडाउन {0}% कम होता है,انخفاض تبريد التفجير بنسبة -{0}%,টার্গেট ব্লাস্ট কুলডাউন হ্রাস পায় -{0}%
Explosion_ReloadNow,Using Target Blast reloads your weapon,爆裂轟炸釋放後立刻裝彈,การใช้การระเบิดเป้าหมายจะรีโหลดอาวุธของคุณ,Sử dụng BÙM! sẽ lập tức nạp đầy đạn,Menggunakan Target Blast mengurangi cooldown sebesar [0]%,Usar o Explode-Alvo recarrega sua arma,"Al causar explosiones, se recarga tu arma",После взрыва бомбы сразу перезарядится оружие.,Utiliser l'explosion ciblée recharge votre arme,Hedef Patlaması kullanıldığında silahın yeniden doldurulur,टारगेट ब्लास्ट इस्तेमाल करने पर आपका वेपन रीलोड होता है,يتم إعادة تعبئة الذخيرة فوراً بعد إطلاق القصف الانفجاري.,টার্গেট ব্লাস্ট ব্যবহার করা হলে ওয়েপন রিলোড হয়
Explosion_WeaponMaxMagazine,Magazine Size +{0},彈匣容量上限+{0},ขนาดแมกกาซีน +{0},Dung lượng băng đạn +{0},Kapasitas Magazine +{0},Capacidade do cartucho +{0},Tamaño del cargador +{0},Максимальная емкость магазина +{0},Capacité du chargeur +{0},Şarjör kapasitesi +{0},मैगज़ीन साइज़ +{0},السعة القصوى للمخزن +{0},ম্যাগজিন সাইজ +{0}
General,General,通用,ทั่วไป,Phổ biến,Umum,Geral,Mejora,Общее,Général,Genel,जनरल,عام,সাধারণ
No_Ranking_Information_Available,No information available,暫無排行資訊,ไม่มีข้อมูล,Hiện chưa có thông tin,Tidak ada informasi tersedia,Sem informações disponíveis,No hay información disponible,Нет информации о рейтинге,Aucune information disponible,Bilgi yok,कोई जानकारी उपलब्ध नहीं है,لا توجد معلومات تصنيف حاليًا,কোনো তথ্য উপলব্ধ নেই
Wave,Wave,波數,คลื่น,Số đợt,Gelombang,Onda,Oleada,Волна,Vague,Dalga,वेव,عدد الموجات,ওয়েভ
Objective_Survive,Objective: Survive,目標：存活,ภารกิจ: เอาชีวิตรอด,Mục tiêu: Sinh tồn,Tujuan Permainan: Bertahan Hidup,Objetivo: sobreviver,Objetivo: Sobrevivir,Цель: выжить,Objectif: survivre,Hedef: Hayatta kalmak,ऑब्जेक्टिव: सर्वाइव करें,الهدف: النجاة,অবজেকটিভ: সারভাইভ করা
HOLDING_QUANTITY,Own,持有數量,ของตนเอง,Sở hữu,Jumlah yang Dimiliki,Possui,Adquirido,В наличии,Propre,Sahip Olunan Miktar,ओन,الكمية المتوفرة,নিজস্ব
LIMIT_REACHED,Limit reached,已達上限,ถึงขีดจำกัดแล้ว,Đã đạt giới hạn,Telah mencapai batas,Limite atingido,Límite alcanzado,Достигнут предел,Limite atteinte,Sınıra ulaşıldı,लिमिट पूरी हुई,وصل إلى الحد الأقصى,লিমিটে পৌঁছেছে
KILL_BOSS_TEXT,Eliminate the BOSS,消滅頭目,กำจัดบอส,Hancurkan BOSS,Eliminar o CHEFE,Eliminar al JEFE,Tiêu diệt BOSS, Уничтожить БОССА,Éliminer le BOSS,BOSS'u Yok Et,বসকে নির্মূল করুন,القضاء على الزعيم,बॉस को खत्म करो
DMG_SHOCK,Lightning Damage,閃電傷害,ความเสียหายสายฟ้า,Kerusakan Petir,Dano de Raio,Sát thương sấm sét,Daño de rayo,Урон молнией,Dégâts de foudre,Yıldırım Hasarı,বজ্রপাতের ক্ষতি,ضرر البرق,बिजली की क्षति
DMG_GRENADE,Grenade Launcher,榴彈,ระเบิดมือ,Lựu đạn,Granat pelontar,Granada,Granada,Граната,Grenade,El bombası,ग्रेनेड,قنبلة يدوية,গ্রেনেড
